Code-barres,Nom,Marque,Catégorie,Quantité,Prix d'achat,Prix de vente
6130003014385,"Schweppes grenadine","","Boissons",1,,
3287123301178,"Boisson 330ml","Caraibos","Boissons",1,,
3287123301031,"Boisson à La Goyave","Caraibos","Boissons",1,,
7613034579102,"PERRIER eau minérale naturelle gazeuse 330 ml","Nestlé","Boissons",1,,
3124480184344,"Orangina et sa pulpe 33 cl","Orangina","Boissons",1,,
5449000286291,"Sprite Goût Original 33 cl","Sprite","Boissons",1,,
3174780000363,"Coca-Cola goût original 500 ml","Coca Cola","Boissons",1,,
3124480167026,"Orangina 50 cl","Orangina","Boissons",1,,
3124480167064,"Schweppes Agrum' 50 cl","Schweppes","Boissons",1,,
3503780004031,"Granini Juice Multifruit","Granini","Boissons",1,,
3503780004246,"Boisson ACE 25 cl","Granini","Boissons",1,,
4000177023556,"Capri-Sun Multifruits 1","Capri-Sun","Boissons",1,,
9002490205973,"25 cl Red Bull - Energy Drink 250 ml","Red Bull","Boissons",1,,
9002490278229,"The Summer Edition White Peach 250 ml","Red Bull","Boissons",1,,
9002490246594,"The Red Edition Goût pastèque 250ml","Red Bull","Boissons",1,,
9002490290276,"Red bull the summer edition agrume 250 ml","Red Bull","Boissons",1,,
3168930162711,"Lipton Ice Tea Pastèque Menthe 330 ml","Lipton","Boissons",10,,
3254381048893,"CRISTALINE Eau de Source au jus de fruits TROPICAL 50cl 500 ml","Cristaline","Boissons",5,,
6111243810012,"Sardines à l'huile de soja aux légumes, piment et épices 125ml, 90g","Tagine","Épicerie",1,,
26022277,"Filets de maquereaux sauce Escabèche 169 g","Les Doris","Épicerie",1,,
26015903,"Filets de Maquereaux (Marinés au vin blanc et aux aromates) 176 g","Les Doris","Épicerie",1,,
5000213008232,"Guinness 33 cl e","Guinness","Irish Beers",1,,
9002490263195,"Redbull Juneberry 250 ml","Red Bull","Sweetened Beverages",1,,
3124480167057,"PET 50CL OASIS TROPICAL 100 ml","Oasis","Sweetened Beverages",1,,
5449000012814,"Tropico 330 ml","Tropico","Sweetened Beverages",1,,
8002270266805,"Melograno et Arancia 33cl","Nestlé","Sweetened Beverages",1,,
3287123301475,"Caraïbos Coco","","",1,,
3287123301338,"Caraïbos Litchi 33CL","Caraibos","Sweetened Beverages",1,,
3168930178064,"Lipton - Saveur Tropical 33cl","Lipton","Tea Based Beverages",1,,
5449000307590,"Coca Cola lemon 330ml","Coca-Cola","Boissons",1,,
